"Activity ID","Activity Date","Activity Name","Activity Type","Elapsed Time","Moving Time","Distance","Filename","Elevation Gain","Elevation Loss","Average Heart Rate","Max Heart Rate","Average Speed","Max Speed","Average Watts","Max Watts","Calories","Relative Effort"
4,"Oct 01, 2024, 11:35:00 AM","Afternoon Ride","Ride",5486,5268,33892,"",246,237,132,163,6.43,7.9,178,307,863,46
5,"Oct 02, 2024, 8:35:00 AM","Tempo Run","Run",2641,2364,7925,"",59,55,165,176,3.35,4.4,,,471,59
6,"Oct 04, 2024, 6:41:00 AM","Morning Run","Run",2785,2632,6976,"",61,52,148,174,2.65,3.6,,,352,53
7,"Oct 05, 2024, 7:44:00 AM","Long Run","Run",5649,5485,18440,"",93,81,142,166,3.36,4.7,,,1056,49
8,"Oct 07, 2024, 6:25:00 AM","Morning Run","Run",2453,2230,6834,"",36,31,147,173,3.06,4.1,,,336,49
9,"Oct 08, 2024, 10:39:00 AM","Afternoon Ride","Ride",4560,4490,31874,"",191,187,140,154,7.1,8.9,192,305,663,46
10,"Oct 09, 2024, 6:42:00 AM","Tempo Run","Run",2171,2025,7016,"",62,53,160,175,3.46,4.3,,,375,54
11,"Oct 10, 2024, 7:17:00 AM","Morning Run","Run",2697,2461,6763,"",68,62,144,169,2.75,3.8,,,413,50
12,"Oct 11, 2024, 6:35:00 AM","Morning Run","Run",2372,2136,6543,"",69,61,147,175,3.06,4.1,,,285,50
13,"Oct 12, 2024, 7:59:00 AM","Long Run","Run",5584,5325,15716,"",115,109,143,162,2.95,3.9,,,856,48
14,"Oct 14, 2024, 6:54:00 AM","Morning Run","Run",2847,2642,6987,"",60,51,152,170,2.64,3.6,,,517,54
15,"Oct 15, 2024, 9:58:00 AM","Afternoon Ride","Ride",3899,3612,30107,"",267,261,129,158,8.34,10.3,188,311,517,45
16,"Oct 16, 2024, 7:55:00 AM","Tempo Run","Run",2549,2265,8357,"",49,41,157,175,3.69,4.9,,,393,49
17,"Oct 18, 2024, 8:33:00 AM","Morning Run","Run",2367,2208,7130,"",61,54,145,169,3.23,4.1,,,357,45
18,"Oct 19, 2024, 11:59:00 AM","Hard Ride","Ride",6926,6646,50888,"",363,353,149,170,7.66,10.3,216,367,945,48
19,"Oct 21, 2024, 6:27:00 AM","Morning Run","Run",2311,2073,6322,"",54,44,145,168,3.05,3.7,,,399,49
20,"Oct 22, 2024, 10:36:00 AM","Afternoon Ride","Ride",4370,4229,24052,"",188,184,142,158,5.69,7.6,167,297,691,51
21,"Oct 23, 2024, 6:34:00 AM","Tempo Run","Run",2351,2094,8785,"",74,68,157,180,4.2,5.3,,,305,48
22,"Oct 24, 2024, 8:26:00 AM","Morning Run","Run",2468,2199,6398,"",63,55,144,175,2.91,3.5,,,355,44
23,"Oct 25, 2024, 8:59:00 AM","Morning Run","Run",2662,2376,6528,"",40,34,148,169,2.75,3.6,,,347,47
24,"Oct 26, 2024, 11:36:00 AM","Hard Ride","Ride",6276,6096,37207,"",443,439,145,167,6.1,8.5,207,346,1166,45
25,"Oct 28, 2024, 7:54:00 AM","Morning Run","Run",2463,2306,7963,"",47,40,145,174,3.45,4.4,,,364,48
26,"Oct 29, 2024, 11:28:00 AM","Afternoon Ride","Ride",4225,3989,34775,"",153,147,130,158,8.72,12,170,271,635,42
27,"Oct 30, 2024, 6:21:00 AM","Tempo Run","Run",2091,1820,7291,"",47,36,160,179,4.01,5.1,,,290,50
28,"Nov 01, 2024, 8:14:00 AM","Morning Run","Run",2816,2685,6270,"",42,33,148,169,2.34,3.2,,,519,54
29,"Nov 02, 2024, 7:54:00 AM","Long Run","Run",5021,4788,13851,"",115,105,144,171,2.89,4,,,933,43
30,"Nov 04, 2024, 7:04:00 AM","Morning Run","Run",2484,2326,7688,"",64,60,148,170,3.31,4.2,,,434,48
31,"Nov 05, 2024, 10:50:00 AM","Afternoon Ride","Ride",4322,4084,34408,"",216,209,139,164,8.43,10.4,181,274,731,51
32,"Nov 06, 2024, 8:48:00 AM","Tempo Run","Run",2400,2192,8120,"",64,53,158,185,3.7,4.9,,,349,51
33,"Nov 07, 2024, 7:54:00 AM","Morning Run","Run",2128,2055,7896,"",42,32,150,175,3.84,4.7,,,354,50
34,"Nov 08, 2024, 8:33:00 AM","Morning Run","Run",2836,2569,7499,"",41,33,145,175,2.92,3.6,,,455,46
35,"Nov 09, 2024, 6:19:00 AM","Long Run","Run",6316,6105,18792,"",92,85,144,163,3.08,4,,,1172,44
36,"Nov 11, 2024, 7:21:00 AM","Morning Run","Run",2167,2070,6965,"",60,55,149,170,3.36,4.1,,,383,49
37,"Nov 12, 2024, 10:53:00 AM","Afternoon Ride","Ride",5188,5004,34729,"",220,212,136,153,6.94,9,170,304,816,41
38,"Nov 13, 2024, 7:06:00 AM","Tempo Run","Run",2083,1936,7828,"",65,54,156,180,4.04,5.6,,,297,52
39,"Nov 15, 2024, 8:02:00 AM","Morning Run","Run",2183,2025,7665,"",59,53,147,171,3.79,5,,,304,51
40,"Nov 16, 2024, 6:29:00 AM","Long Run","Run",4503,4366,15357,"",98,93,146,163,3.52,4.7,,,697,52
41,"Nov 18, 2024, 6:25:00 AM","Morning Run","Run",2767,2665,8278,"",56,46,148,171,3.11,4.3,,,397,50
42,"Nov 19, 2024, 10:41:00 AM","Afternoon Ride","Ride",5338,5178,27852,"",157,150,131,153,5.38,7.4,199,294,754,46
43,"Nov 20, 2024, 6:13:00 AM","Tempo Run","Run",2156,1882,7066,"",69,61,157,180,3.75,4.6,,,269,56
44,"Nov 21, 2024, 8:56:00 AM","Morning Run","Run",2270,2146,7921,"",47,41,146,172,3.69,4.5,,,369,52
45,"Nov 22, 2024, 7:22:00 AM","Morning Run","Run",2572,2448,6318,"",67,56,150,168,2.58,3.3,,,364,53
46,"Nov 23, 2024, 8:17:00 AM","Long Run","Run",5499,5315,13021,"",140,135,143,164,2.45,3.4,,,908,50
47,"Nov 25, 2024, 8:08:00 AM","Morning Run","Run",2296,2210,6865,"",59,55,151,169,3.11,3.8,,,430,48
48,"Nov 26, 2024, 11:33:00 AM","Afternoon Ride","Ride",3643,3401,24674,"",202,193,129,156,7.25,9.5,188,283,500,48
49,"Nov 27, 2024, 7:12:00 AM","Tempo Run","Run",2091,1810,8268,"",62,53,155,181,4.57,5.7,,,319,49
50,"Nov 29, 2024, 8:16:00 AM","Morning Run","Run",2604,2305,8483,"",64,54,150,170,3.68,4.7,,,382,50
51,"Nov 30, 2024, 11:02:00 AM","Hard Ride","Ride",6095,5996,44174,"",361,354,141,169,7.37,10,231,354,1009,47
52,"Dec 02, 2024, 6:44:00 AM","Morning Run","Run",2243,2129,6266,"",52,42,148,170,2.94,3.9,,,305,51
53,"Dec 03, 2024, 10:38:00 AM","Afternoon Ride","Ride",4382,4296,31377,"",182,174,133,155,7.3,9.8,166,298,817,46
54,"Dec 04, 2024, 7:05:00 AM","Tempo Run","Run",2591,2299,8150,"",60,49,160,182,3.55,4.5,,,338,58
55,"Dec 05, 2024, 6:32:00 AM","Morning Run","Run",2571,2326,7281,"",52,41,146,169,3.13,4,,,362,52
56,"Dec 06, 2024, 6:15:00 AM","Morning Run","Run",2365,2285,7402,"",51,44,151,170,3.24,4.4,,,319,47
57,"Dec 07, 2024, 10:30:00 AM","Hard Ride","Ride",6069,5979,42496,"",491,481,149,169,7.11,8.7,220,371,1016,51
58,"Dec 09, 2024, 8:32:00 AM","Morning Run","Run",2182,2013,8106,"",68,58,150,172,4.03,5.6,,,336,47
59,"Dec 10, 2024, 11:55:00 AM","Afternoon Ride","Ride",3939,3702,31183,"",236,226,132,156,8.42,10.8,195,314,672,43
60,"Dec 11, 2024, 8:20:00 AM","Tempo Run","Run",2323,2175,7396,"",54,47,156,179,3.4,4.6,,,354,53
61,"Dec 13, 2024, 8:49:00 AM","Morning Run","Run",2851,2638,8427,"",47,36,145,171,3.19,4.3,,,519,49
62,"Dec 14, 2024, 7:33:00 AM","Long Run","Run",4386,4305,15462,"",116,109,146,171,3.59,4.5,,,626,45
63,"Dec 16, 2024, 8:36:00 AM","Morning Run","Run",2735,2673,6370,"",60,51,152,175,2.38,2.9,,,478,55
64,"Dec 17, 2024, 9:33:00 AM","Afternoon Ride","Ride",4445,4169,28985,"",180,170,129,157,6.95,9.6,188,271,820,44
65,"Dec 18, 2024, 7:32:00 AM","Tempo Run","Run",2292,2215,7131,"",64,53,156,178,3.22,4.1,,,352,54
66,"Dec 19, 2024, 8:57:00 AM","Morning Run","Run",2543,2267,6691,"",40,35,145,174,2.95,4.1,,,383,49
67,"Dec 20, 2024, 8:33:00 AM","Morning Run","Run",2582,2343,6704,"",52,43,145,174,2.86,3.8,,,458,44
68,"Dec 21, 2024, 7:28:00 AM","Long Run","Run",5668,5554,14447,"",93,90,142,162,2.6,3.6,,,821,43
69,"Dec 23, 2024, 6:18:00 AM","Morning Run","Run",2665,2416,7461,"",68,58,146,173,3.09,3.7,,,334,49
70,"Dec 24, 2024, 11:00:00 AM","Afternoon Ride","Ride",3855,3660,32566,"",193,182,135,162,8.9,10.7,175,303,594,49
71,"Dec 25, 2024, 8:57:00 AM","Tempo Run","Run",2101,1925,7597,"",47,41,158,184,3.95,4.9,,,361,56
72,"Dec 27, 2024, 8:32:00 AM","Morning Run","Run",2306,2065,7680,"",55,46,148,174,3.72,5.1,,,385,54
73,"Dec 28, 2024, 8:31:00 AM","Long Run","Run",6090,5941,13586,"",121,115,146,165,2.29,3,,,1154,48
74,"Dec 30, 2024, 7:58:00 AM","Morning Run","Run",2336,2049,7732,"",35,29,144,171,3.77,5,,,307,48
75,"Dec 31, 2024, 10:07:00 AM","Afternoon Ride","Ride",5381,5289,26258,"",264,254,141,162,4.96,6.2,200,299,1051,52
1,"Jan 01, 2025, 12:00:00 PM","Example Run","Run",3600,3600,5000,"activities/example.tcx",50,30,145,170,3.5,4,,,100,50
2,"Jan 02, 2025, 12:00:00 PM","Example Ride","Ride",3600,3600,10000,"activities/example.gpx",100,80,140,165,5.5,6,200,250,200,80
3,"Jan 03, 2025, 12:00:00 PM","Example FIT","Run",2400,2400,3000,"activities/example.fit",30,20,150,175,3.3,3.8,,,80,40
